,nwm_id,densified_id
10,1629533,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
11,1629535,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
12,1629537,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
13,1629543,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
14,1629545,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
15,1629547,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
16,1629549,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
17,1629551,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
18,1629553,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
19,1629557,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
20,1629561,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
21,1629563,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
22,1629567,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
23,1629793,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
24,1629795,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
25,1629797,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
26,1629799,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
27,1629801,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
28,1629803,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
29,1629805,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
30,1629807,"[2368268, 2363484, 2380918, 2351414, 2381356, 2324846, 2364241, 2338259, 2324405, 2359424, 2327438, 2371424, 2376827, 2338281, 2355302, 2355515, 2379131, 2333943, 2345144, 2325243, 2322868, 2364507, 2377287, 2349639, 2340163, 2356397, 2358987, 2333803, 2365292, 2333418, 2370563, 2347409, 2348648, 2350378, 2324034, 2321453, 2340187, 2336918, 2326628, 2347764, 2363456, 2347809, 2356847, 2346942, 2378661, 2322456, 2366469, 2377842, 2329019, 2348468, 2377355, 2320470, 2378465, 2353294, 2338345, 2342350, 2338260, 2363030, 2377929, 2326140, 2321299, 2378600, 2356097, 2349626, 2359522, 2377949, 2367095, 2377338, 2347929, 2326320, 2347724, 2374491, 2378370, 2339888, 2378193, 2349638, 2342747, 2371417, 2322871, 2337505, 2348847, 2377952, 2348698, 2327646, 2321481, 2321737, 2356971]"
